Type,A,B,C
SMLos,18.464,15.6427008,38.645152
SMLos,18.452,15.6362248,38.6034292
SMLos,18.442,15.629595,38.5769756
SMLos,18.297,15.6329568,38.3651496
SMLos,18.255,15.615327,38.3446275
SMLos,18.251,15.6210309,38.3307502
SMLos,18.24,15.611616,38.324064
SMLos,18.231,15.6093822,38.3233851
Roman,18.412,15.657,38.497
Roman,18.288,15.625,38.287
Roman,18.691,15.697,39.017
Roman,18.18,15.614,38.15
Roman,18.333,15.619,38.318
Roman,18.356,15.615,38.331
Roman,18.347,15.599,38.28
Roman,18.329,15.609,38.339
Roman,18.315,15.612,38.305
Roman,18.379,15.609,38.346
Roman,18.217,15.588,38.134
Roman,18.369,15.612,38.339
Roman,18.242,15.594,38.146
Roman,18.427,15.606,38.351
Roman,18.354,15.609,38.337
Roman,18.362,15.602,38.317
Roman,18.23,15.593,38.148
Roman,18.327,15.6,38.253
Roman,18.724,15.662,38.857
Roman,18.311,15.593,38.219
Roman,18.351,15.594,38.26
Roman,18.297,15.613,38.276
Roman,18.374,15.617,38.343
Roman,18.165,15.588,38.075
Roman,18.364,15.605,38.312
Roman,18.15,15.591,38.071
Roman,18.374,15.602,38.322
Roman,18.378,15.618,38.353
Roman,18.25,15.59,38.16
Roman,18.35,15.596,38.279
Roman,18.347,15.598,38.27
Roman,18.272,15.586,38.171
Roman,18.33,15.592,38.25
Roman,18.301,15.597,38.23
Roman,18.306,15.592,38.279
Roman,18.361,15.642,38.443
Roman,18.256,15.584,38.145
Roman,18.328,15.647,38.239
Roman,18.358,15.616,38.336
Roman,18.355,15.621,38.342
Roman,18.159,15.582,38.05
Roman,18.164,15.602,38.108
Roman,18.167,15.597,38.11
Roman,18.18,15.603,38.122
Roman,18.149,15.595,38.087
Roman,18.15,15.593,38.092
Roman,18.167,15.59,38.087
Roman,18.378,15.604,38.333
Roman,18.389,15.621,38.412
Roman,18.338,15.613,38.312
Roman,18.235,15.605,38.183
Roman,18.685,15.662,39.12
Roman,18.214,15.622,38.205
Roman,18.373,15.605,38.336
Roman,18.335,15.607,38.29
Roman,18.147,15.592,38.071
Roman,18.722,15.688,39.018
Roman,18.397,15.626,38.402
Roman,18.365,15.616,38.34
Roman,18.396,15.647,38.44
Roman,18.374,15.635,38.407
Roman,18.38,15.619,38.374
Roman,18.372,15.626,38.365
Roman,18.324,15.63,38.382
Roman,18.398,15.653,38.627
Roman,18.378,15.634,38.394
Roman,18.378,15.639,38.415
Roman,18.371,15.623,38.369
Roman,18.17,15.61,38.133
Roman,18.253,15.639,38.289
Roman,18.218,15.648,38.275
Roman,18.17,15.616,38.155
Roman,18.343,15.63,38.36
Roman,18.218,15.604,38.173
Roman,18.357,15.623,38.351
Roman,18.299,15.628,38.311
Roman,18.504,15.613,38.469
Roman,18.296,15.643,38.336
Roman,18.175,15.62,38.174
Roman,18.181,15.58,38.09
Roman,18.373,15.618,38.371
Roman,18.194,15.604,38.152
Roman,18.275,15.607,38.246
Roman,18.166,15.596,38.095
Roman,18.33,15.599,38.263
Roman,18.204,15.603,38.162
Roman,18.181,15.588,38.108
Roman,18.361,15.598,38.314
Roman,18.387,15.623,38.407
Roman,18.348,15.62,38.342
Roman,18.424,15.612,38.392
Roman,18.354,15.622,38.354
Roman,18.332,15.605,38.272
Roman,18.374,15.637,38.397
Roman,18.356,15.617,38.338
