Type,A,B,C
Sauerland,18.259,15.62,38.208
Sauerland,18.276,15.63,38.25
Sauerland,18.292,15.618,38.236
Sauerland,18.276,15.639,38.267
Sauerland,18.354,15.631,38.333
Sauerland,18.247,15.656,38.274
Sauerland,18.253,15.653,38.282
Sauerland,18.2140263,15.6060284,38.15016919
Sauerland,18.395,15.632,38.329
Sauerland,18.343,15.658,38.389
Sauerland,18.307496,15.5649911,38.1512261
Sauerland,18.397,15.616,38.286
Sauerland,18.31114449,15.60496972,38.25530878
Sauerland,18.35634451,15.61237608,38.30724229
Sauerland,18.36850721,15.61959884,38.34019454
Sauerland,18.407,15.677,38.496
Sauerland,18.19139963,15.59883053,38.10813485
Sauerland,18.233,15.617,38.196
Sauerland,18.44818732,15.61066816,38.31923301
Sauerland,18.20830213,15.61113109,38.16118535
Sauerland,18.39292812,15.62771202,38.36400374
Sauerland,18.29442739,15.62777252,38.29842436
Sauerland,18.43936195,15.60909328,38.39130665
Sauerland,18.22386359,15.6283726,38.21462907
Sauerland,18.21680961,15.61775016,38.18520246
Sauerland,18.2109298,15.60120263,38.13856255
Sauerland,18.21495684,15.60028923,38.13218812
Sauerland,18.24122681,15.61341068,38.21442749
Sauerland,18.21191386,15.60361567,38.13002374
Sauerland,18.33030164,15.60331187,38.26596436
Sauerland,18.254,15.633,38.218
Sauerland,18.33,15.674,38.341
Sauerland,18.247,15.613,38.129
Sauerland,18.2450075,15.62183389,38.1781338
Sauerland,18.2037764,15.59589788,38.10439939
Sauerland,18.223184,15.61060977,38.16362152
Sauerland,18.18832387,15.57783477,38.05209586
Sauerland,18.24411655,15.63423588,38.21966222
Sauerland,18.19620137,15.60159913,38.12321963
Sauerland,18.20968497,15.60740603,38.15471149
Sauerland,18.428,15.662,38.467
Sauerland,18.20203658,15.61833578,38.17849237
Sauerland,18.19347879,15.5978809,38.12978198
Sauerland,18.21069548,15.61183821,38.17581183
Sauerland,18.406,15.633,38.372
Sauerland,18.22907914,15.59839801,38.19697875
Sauerland,18.535,15.712,38.667
Sauerland,18.45946878,15.61644115,38.41354788
Sauerland,18.319,15.649,38.385
Sauerland,18.341,15.652,38.326
Sauerland,18.62,15.654,38.521
Sauerland,18.34301194,15.63119127,38.36740856
Sauerland,18.33039976,15.61806911,38.32426747
Sauerland,18.33707651,15.62656666,38.35014533
Sauerland,18.33387518,15.62204348,38.33619191
Sauerland,18.48,15.651,38.462
Sauerland,18.4379756,15.61984575,38.42222128
Sauerland,18.47056173,15.63281862,38.46715954
Sauerland,18.45662955,15.63049076,38.45020768
Sauerland,18.4549671,15.63356698,38.47968571
Sauerland,18.46638046,15.62519204,38.4361508
Sauerland,18.419386,15.61025691,38.38944921
Sauerland,18.42410515,15.61584379,38.39544347
Sauerland,18.42963539,15.61911033,38.41765035
Sauerland,18.45676395,15.61115206,38.39152832
Sauerland,18.44408441,15.6342407,38.46927732
Sauerland,18.48975577,15.63222607,38.46887787
Sauerland,18.47769439,15.60993525,38.4059954
Sauerland,18.53306203,15.71859284,38.76183714
Sauerland,18.46915324,15.64214008,38.50103845
Sauerland,18.457,15.628,38.42
Sauerland,18.06337258,15.57527234,38.18066258
Sauerland,18.407,15.634,38.632
Sauerland,18.517,15.659,38.535
Sauerland,18.38862587,15.61574255,38.3570539
Sauerland,18.46410246,15.61136225,38.41091173
Sauerland,18.48735199,15.62382935,38.43986387
Sauerland,18.35491056,15.6226569,38.33683874
Sauerland,18.34442284,15.61855982,38.33652185
Sauerland,18.36970253,15.62459768,38.36233212
Sauerland,18.35250889,15.61507476,38.31131443
Sauerland,18.34277492,15.60779491,38.29118022
Sauerland,18.34599138,15.61918859,38.32435435
Sauerland,18.35389553,15.60830379,38.29938838
Sauerland,18.35280243,15.61857928,38.32756552
Sauerland,18.34496393,15.60307078,38.27943889
Sauerland,18.3543831,15.61850785,38.33306451
Sauerland,18.35746086,15.62214561,38.32398855
Sauerland,18.33451369,15.60438299,38.27253093
Sauerland,18.42497657,15.71225961,38.58503803
Sauerland,18.34067641,15.61878767,38.31245331
Sauerland,18.3623973,15.61991678,38.32995308
Sauerland,18.41106964,15.61641507,38.3774382
Sauerland,18.40432203,15.58458828,38.38110536
Sauerland,18.39388241,15.62236122,38.39170349
Sauerland,18.39971862,15.61478842,38.36242814
Sauerland,18.39034765,15.61211332,38.35297252
Sauerland,18.40568963,15.61376987,38.36017698
Sauerland,18.37441548,15.60592938,38.35634509
Sauerland,18.4629861,15.65467932,38.53126306
Sauerland,18.43416975,15.62588592,38.44312425
Sauerland,18.43454217,15.62342583,38.43034597
Sauerland,18.45288453,15.64572989,38.50677227
Sauerland,18.433007,15.62632566,38.43741564
Sauerland,18.44237145,15.63451179,38.46073992
Sauerland,18.45352393,15.62430411,38.43419865
Sauerland,18.43242843,15.61486798,38.4199666
Sauerland,18.44284088,15.62234296,38.44106673
Sauerland,18.4388852,15.61899947,38.43094148
Sauerland,18.44521439,15.62666859,38.4483189
Sauerland,18.44607097,15.62446344,38.44288319
Sauerland,18.494,15.694,38.668
Sauerland,18.562,15.752,38.828
Sauerland,18.46,15.623,38.391
Sauerland,18.565,15.729,38.627
Sauerland,18.59,15.707,38.731
Sauerland,18.51248947,15.62388754,38.49820514
Sauerland,18.5098582,15.63494281,38.53997342
Sauerland,18.51170335,15.62498756,38.51067788
Sauerland,18.37600126,15.63937348,38.39302106
Sauerland,18.40889917,15.66433458,38.48878759
Sauerland,18.40062491,15.66813137,38.49809817
Sauerland,18.37587488,15.6252723,38.36024478
Sauerland,18.35462584,15.6164853,38.3209421
Sauerland,18.38102639,15.6137794,38.31733169
Sauerland,18.266,15.668,38.254
Sauerland,18.445,15.651,38.365
Sauerland,18.35606349,15.62897929,38.36221631
Sauerland,18.39876463,15.61544618,38.33996634
Sauerland,18.558,15.682,38.68
Sauerland,18.267,15.651,38.289
Sauerland,18.419,15.641,38.384
Sauerland,18.353,15.628,38.307
Sauerland,18.3071874,15.61129924,38.28515633
Sauerland,18.197,15.606,38.123
BergischesLand,18.23109867,15.61601967,38.29102344
BergischesLand,18.24151769,15.57971543,38.12112368
BergischesLand,18.17,15.603,38.085
BergischesLand,18.17685079,15.61322056,38.12714061
BergischesLand,18.17984927,15.62990474,38.18916623
BergischesLand,18.21918923,15.70038265,38.433274
BergischesLand,18.2221386,15.69911076,38.4299649
BergischesLand,18.21793578,15.70901514,38.47448152
BergischesLand,18.23753681,15.73728262,38.55619608
BergischesLand,18.13628504,15.73278703,38.52960329
BergischesLand,18.14821603,15.59540416,38.07936592
BergischesLand,18.22,15.659,38.261
BergischesLand,18.417,15.854,38.443
BergischesLand,18.08091546,15.54650868,37.94643052
BergischesLand,18.14141832,15.61285894,38.09485904
BergischesLand,18.08683184,15.54235982,37.94190926
BergischesLand,18.13635164,15.5911891,38.04506977
BergischesLand,18.14679386,15.59353986,38.04305138
BergischesLand,18.11266075,15.5602246,37.96431806
Laurion,18.808,15.64844408,38.71100176
Laurion,18.846,15.67553742,38.77526808
Laurion,18.834,15.651054,38.73381606
Laurion,18.923,15.73693449,39.04931357
Laurion,18.823,15.65094804,38.73491055
Laurion,18.827,15.65182645,38.7252563
Laurion,18.823,15.65151273,38.73829869
Laurion,18.841,15.66572627,38.76874888
Laurion,18.873,15.70535568,38.82421449
Laurion,18.817,15.65329779,38.72632685
Laurion,18.832,15.6569248,38.7411904
Laurion,18.818,15.65356512,38.7246213
Laurion,18.838,15.66794136,38.74260756
Laurion,18.832,15.65052192,38.72499488
Laurion,18.819,15.65100954,38.73251304
Laurion,18.818,15.64923698,38.74306294
Laurion,18.848,15.69096,38.8796544
Laurion,18.835,15.6597957,38.76261835
Laurion,18.844,15.68122304,38.889305
Laurion,18.84,15.6534024,38.7210984
Laurion,18.824,15.66307392,38.73527424
Laurion,18.818,15.65638782,38.7246213
Laurion,18.897,15.70756434,38.9561655
Laurion,18.886,15.71371858,38.95936282
Laurion,18.846,15.69325266,38.8934325
Laurion,18.882,15.69415194,38.83574232
Laurion,18.903,15.72483861,38.97685182
Laurion,18.857,15.67525839,38.83618007
Laurion,18.911,15.70426173,38.93812722
Laurion,18.82,15.6531586,38.7778572
Laurion,18.8661447,15.68286011,38.86425809
Laurion,18.83097318,15.65663603,38.79933715
Laurion,18.8313278,15.6629569,38.80195093
Laurion,18.82034102,15.65777092,38.77366658
Laurion,18.83239171,15.66873823,38.86440678
Laurion,18.85725061,15.67414671,38.83839336
Laurion,18.87362223,15.67341084,38.86267552
Laurion,18.87682869,15.68626711,38.88249174
Laurion,18.85049671,15.67060642,38.81317273
Laurion,18.84872017,15.68288913,38.85475176
Laurion,18.851,15.68667114,38.80610307
Laurion,18.898,15.71349802,38.91589548
Laurion,18.824,15.66608576,38.74845104
Laurion,18.887,15.68338706,38.81675127
Laurion,18.847,15.6656264,38.75244752
Laurion,18.82211222,15.66338535,38.76037569
Laurion,18.84197238,15.66992633,38.80315791
Laurion,18.87504719,15.69837675,38.84484711
Laurion,18.86400936,15.67278489,38.82024485
Laurion,18.886,15.70691962,38.93991024
Laurion,18.901,15.72695507,38.99994538
Laurion,18.91,15.7079697,38.975401
Laurion,18.885,15.6817263,38.8177398
Laurion,18.865,15.68190855,38.83680955
Laurion,18.895,15.7025008,38.89932545
Laurion,18.915,15.7232829,38.8801608
Laurion,18.83,15.6592163,38.7568475
Laurion,18.906,15.72941388,38.98530636
Laurion,18.83,15.65,38.77
Laurion,18.86,15.68,38.85
Laurion,18.86,15.68,38.85
Laurion,18.83274638,15.67072826,38.81617356
Laurion,18.84623358,15.67045476,38.82324118
Laurion,18.85120742,15.6706317,38.84479801
Sardinia,18.232,15.65727696,38.36213352
Sardinia,18.205,15.6421001,38.32607625
Sardinia,18.195,15.63623715,38.22678525
Sardinia,18.17,15.6281987,38.2549363
Sardinia,18.235,15.68447055,38.395616
Sardinia,18.179,15.6375758,38.27606629
Sardinia,18.208,15.66397824,38.36389184
Sardinia,18.208,15.66397824,38.36389184
Sardinia,18.203,15.66495571,38.3591819
Sardinia,18.097,15.60992929,38.11843498
Sardinia,18.083,15.61195805,38.08514879
Sardinia,18.107,15.63376487,38.16647781
Sardinia,18.136,15.66460728,38.28836048
Sardinia,18.105,15.6467031,38.230518
Sardinia,18.203,15.58158597,38.13564906
Sardinia,18.254,15.63929704,38.3142333
Sardinia,18.236,15.63408752,38.29870012
Sardinia,18.197,15.60156189,38.16966326
Sardinia,18.212,15.62097876,38.21988532
Sardinia,18.225,15.638508,38.273229
Sardinia,18.244,15.65590616,38.34505676
Sardinia,18.214,15.6403618,38.3085955
Sardinia,18.243,15.67420317,38.37506265
Sardinia,18.28,15.6443896,38.3481496
Sardinia,18.29,15.6582519,38.4111948
Sardinia,18.296,15.66485224,38.42288072
Sardinia,18.317,15.68338174,38.48383383
Sardinia,18.324,15.6917574,38.50898544
Sardinia,18.3,15.671571,38.458182
Sardinia,18.321,15.72179973,38.56533858
Sardinia,18.475,15.6701255,38.7793945
Sardinia,18.48,15.6769536,38.7924768
Sardinia,18.475,15.67363575,38.77329775
Sardinia,18.491,15.69109278,38.83202455
Sardinia,18.497,15.69877384,38.86201203
Sardinia,18.504,15.70767552,38.89374264
Sardinia,18.693,15.6572568,38.78274096
Sardinia,18.694,15.66015074,38.80107946
Sardinia,18.708,15.67318824,38.8219062
Sardinia,18.105,15.6202698,38.1323889
Sardinia,18.136,15.64846624,38.24773584
Sardinia,18.124,15.64300564,38.20521076
Sardinia,18.103,15.62904402,38.12944375
Sardinia,18.123,15.66153414,38.22811251
Sardinia,18.059,15.62753624,38.10539295
Sardinia,18.023,15.69550978,38.26913705
Sardinia,17.952,15.63583296,38.01641184
Sardinia,17.984,15.66873984,38.12805824
Sardinia,17.869,15.619,37.887
Sardinia,18.2286,15.6479771,38.32490236
Sardinia,18.251,15.67304625,38.39389866
Sardinia,18.2332,15.65812516,38.38708529
Sardinia,18.255,15.6803148,38.3950113
Sardinia,18.241,15.66828936,38.3717676
Sardinia,18.252,15.67810296,38.40914376
Sardinia,18.232,15.66256424,38.35684624
Sardinia,18.216,15.6530088,38.32427808
Sardinia,18.2516,15.68487749,38.45885894
Sardinia,18.2068,15.65129355,38.31256924
Sardinia,18.209,15.66210717,38.29498372
Sardinia,18.2238,15.67501933,38.34506206
Sardinia,18.2084,15.67124154,38.36109295
Sardinia,18.241,15.70148798,38.39310957
Sardinia,18.2133,15.67910144,38.37469457
Sardinia,18.156,15.65555568,38.28247068
Sardinia,18.159,15.66467976,38.33328582
Sardinia,18.139,15.73159192,38.26313216
Sardinia,18.075,15.68747325,38.271282
Sardinia,18.006,15.63587022,38.08683138
Sardinia,18.044,15.6820404,38.24173184
Sardinia,18.062,15.70545086,38.31817176
Sardinia,17.88,15.6194316,37.8932628
Sardinia,17.867,15.60986189,37.8548129
Sardinia,17.87,15.6142699,37.8749289
Sardinia,17.889,15.63266043,37.9336245
Sardinia,17.903,15.64740103,38.00878512
Sardinia,17.869,15.61857814,37.88674725
Sardinia,17.909,15.65622689,38.01525521
Sardinia,17.885,15.6357824,37.95644125
Sardinia,17.895,15.6463143,37.9921587
Sardinia,17.898,15.64929528,37.99816992
Sardinia,17.915,15.6652343,38.0134802
Sardinia,17.89,15.6456995,37.9724195
Sardinia,17.9,15.656235,38.028729
Sardinia,17.921,15.67514028,38.1054223
Sardinia,18.265,15.6436072,38.35960505
