Region,Country,Group,Pb204/Pb206,Pb207/Pb206,Pb208/Pb206,Pb206/Pb204,Pb207/Pb204,Pb208/Pb204,Age,Mu,Kappa,Pb207,Pb206,Pb208,Reference
Roman object,Roman,Y,0.054611982,0.851564633,2.087215335,18.311,15.593,38.219,258.9934095,9.60358004,3.855718957,21.62001026,25.3885723,52.99141744,
Roman object,Roman,Y,0.054492943,0.849762956,2.084900005,18.351,15.594,38.26,230.6676482,9.598581441,3.851580824,21.59684232,25.41513746,52.98802022,
Roman object,Roman,Y,0.054653768,0.853309286,2.091927638,18.297,15.613,38.276,308.2648589,9.686735537,3.902707076,21.6288477,25.3470202,53.0241321,
Roman object,Roman,Y,0.054424731,0.849951018,2.086807445,18.374,15.617,38.343,258.2787408,9.684785456,3.888688403,21.59012359,25.4016092,53.0082672,
Roman object,Roman,Y,0.055050922,0.858133774,2.096063859,18.165,15.588,38.075,359.4811053,9.618411853,3.873402631,21.70184329,25.28958066,53.00857604,
Roman object,Roman,Y,0.054454367,0.849760401,2.086255718,18.364,15.605,38.312,242.4274037,9.639334319,3.874585282,21.58935267,25.40640002,53.00424731,
Roman object,Roman,Y,0.055096419,0.859008264,2.097575758,18.15,15.591,38.071,376.4692144,9.6343442,3.882391257,21.71085612,25.27432741,53.01481647,
Roman object,Roman,Y,0.054424731,0.849134647,2.085664526,18.374,15.602,38.322,228.9960575,9.625209719,3.872239124,21.5801267,25.41425766,53.00561565,
Roman object,Roman,Y,0.054412885,0.849820437,2.086897377,18.378,15.618,38.353,257.2179947,9.687856784,3.891710469,21.58702954,25.40187148,53.01109898,
Roman object,Roman,Y,0.054794521,0.854246575,2.090958904,18.25,15.59,38.16,299.2582053,9.60574959,3.863413371,21.65277778,25.34722222,53,
Roman object,Roman,Y,0.054495913,0.849918256,2.086049046,18.35,15.596,38.279,235.3601333,9.606734653,3.863079634,21.59363101,25.40671513,52.99965386,
Roman object,Roman,Y,0.054504824,0.85016624,2.085899602,18.347,15.598,38.27,241.5568085,9.615340883,3.860963357,21.59939071,25.40607907,52.99453022,
Roman object,Roman,Y,0.054728546,0.852999124,2.089043345,18.272,15.586,38.171,274.837358,9.584621735,3.853304754,21.63850671,25.36756029,52.993933,
Roman object,Roman,Y,0.054555374,0.850627387,2.086743044,18.33,15.592,38.25,242.6474444,9.595318256,3.859402872,21.60394613,25.39766114,52.99839273,
Roman object,Roman,Y,0.054641823,0.852248511,2.088956888,18.301,15.597,38.23,274.3520256,9.621810168,3.869671016,21.62405723,25.37294809,53.00299468,
Roman object,Roman,Y,0.054626898,0.851742598,2.091063039,18.306,15.592,38.279,260.8207579,9.600736992,3.890921419,21.60244953,25.36265015,53.03490031,
Roman object,Roman,Y,0.054463265,0.851914384,2.093731278,18.361,15.642,38.443,315.8984076,9.787742198,3.959474515,21.59125418,25.34439445,53.06435138,
Roman object,Roman,Y,0.054776512,0.85363716,2.089450044,18.256,15.584,38.145,283.0556261,9.580347386,3.849188734,21.64895464,25.36083906,52.99020629,
Roman object,Roman,Y,0.054561327,0.853721082,2.086370581,18.328,15.647,38.239,349.7128053,9.8159258,3.873825073,21.66754369,25.3801202,52.95233611,
Roman object,Roman,Y,0.054472165,0.850637324,2.088244907,18.358,15.616,38.336,268.3422094,9.684455701,3.895223643,21.59590651,25.38791315,53.01618033,
Roman object,Roman,Y,0.054481068,0.851048761,2.088913103,18.355,15.621,38.342,280.2433978,9.705093896,3.902173672,21.60043143,25.38095633,53.01861224,
Roman object,Roman,Y,0.055069112,0.858086899,2.095379702,18.159,15.582,38.05,352.5203708,9.595681913,3.861619932,21.7046705,25.29425694,53.00107256,
Roman object,Roman,Y,0.055053953,0.858951773,2.097996036,18.164,15.602,38.108,386.8096069,9.675354042,3.897077103,21.70743245,25.27200378,53.02056376,
Roman object,Roman,Y,0.055044862,0.858534706,2.097759674,18.167,15.597,38.11,375.1063142,9.654315001,3.894420463,21.70047583,25.27617776,53.02334641,
Roman object,Roman,Y,0.055005501,0.858250825,2.096919692,18.18,15.603,38.122,376.7396686,9.675305601,3.894269275,21.69946457,25.28335999,53.01717544,
Roman object,Roman,Y,0.055099455,0.859275993,2.098572924,18.149,15.595,38.087,384.8040054,9.650815845,3.893281818,21.71068202,25.26624995,53.02306803,
Roman object,Roman,Y,0.055096419,0.859118457,2.098732782,18.15,15.593,38.092,380.2651357,9.642449049,3.894673245,21.70668894,25.26623512,53.02707594,
Roman object,Roman,Y,0.055044862,0.858149392,2.096493642,18.167,15.59,38.087,361.7940329,9.625991997,3.87934442,21.699794,25.28673236,53.01347364,
Roman object,Roman,Y,0.054412885,0.849058657,2.08580912,18.378,15.604,38.333,229.9013576,9.632253476,3.87614895,21.57781926,25.41381456,53.00836618,
Roman object,Roman,Y,0.054380336,0.84947523,2.088857469,18.389,15.621,38.412,254.7890959,9.697299106,3.916820827,21.56941261,25.39145564,53.03913176,
Roman object,Roman,Y,0.054531574,0.851401461,2.089213655,18.338,15.613,38.312,277.5407384,9.677099934,3.894651519,21.60580103,25.37674882,53.01745015,
Roman object,Roman,Y,0.054839594,0.855771867,2.093940225,18.235,15.605,38.183,339.3838108,9.669605735,3.89118403,21.66668981,25.3183011,53.01500909,
Roman object,Roman,Y,0.053518865,0.83821247,2.093658014,18.685,15.662,39.12,113.7271771,9.796178445,4.100775575,21.31841507,25.43318769,53.24839724,
Roman object,Roman,Y,0.054902822,0.857691885,2.097562315,18.214,15.622,38.205,387.1846615,9.743624276,3.923256846,21.68487389,25.28282506,53.03230105,
Roman object,Roman,Y,0.054427693,0.849344146,2.086540032,18.373,15.605,38.336,235.637183,9.63732732,3.881403587,21.57950051,25.40725171,53.01324778,
Roman object,Roman,Y,0.054540496,0.851213526,2.088355604,18.335,15.607,38.29,268.1703769,9.653861161,3.882767119,21.60676708,25.38348654,53.00974637,
Roman object,Roman,Y,0.055105527,0.859205378,2.097922522,18.147,15.592,38.071,380.6190078,9.639163629,3.884771908,21.71285336,25.27085364,53.016293,
